Genre,Country,Percent
Rap/Hip Hop,CN,0
Reggae,CN,0
Rock,CN,2.196645
Schlager,CN,0
Shanson,CN,0
Soul/R 'n' B/Funk,CN,2.0539831
Soundtracks/Musicals/Theatre,CN,0.7744321
Spoken Word,CN,0
French Variety,CN,0
World,CN,0
Afrikaans,DE,0
Bollywood,DE,0
Cantonese Pop,DE,0
Christian/Gospel,DE,0
Classical,DE,3.9305832
Country and Western,DE,0
Dance,DE,5.5443906
Devotional,DE,0
Easy Listening/Oldies,DE,0
Electronica,DE,0
Flamenco,DE,0
Folk/Roots,DE,0
Ghazal,DE,0
Hindustani Classical,DE,0
Indie/Alternative,DE,4.223712
Italiana,DE,0
Jazz,DE,3.603692
Khaleeji,DE,0
Latin Music,DE,0
Mandarin Pop,DE,0
Metal,DE,7.0081857
Nederlandstalig,DE,0
Oriental Pop,DE,0
Pop,DE,36.3410701
Rap/Hip Hop,DE,5.5656385
Reggae,DE,0
Rock,DE,25.5169188
Schlager,DE,0
Shanson,DE,0
Soul/R 'n' B/Funk,DE,4.867234
Soundtracks/Musicals/Theatre,DE,0
Spoken Word,DE,3.3985752
French Variety,DE,0
World,DE,0
Afrikaans,ES,0
Bollywood,ES,0
Cantonese Pop,ES,0
Christian/Gospel,ES,0
Classical,ES,3.8077827
Country and Western,ES,0
Dance,ES,5.0606403
Devotional,ES,0
Easy Listening/Oldies,ES,0
Electronica,ES,0
Flamenco,ES,3.904313
Folk/Roots,ES,0
Ghazal,ES,0
Hindustani Classical,ES,0
Indie/Alternative,ES,3.0192588
Italiana,ES,0
Jazz,ES,0
Khaleeji,ES,0
Latin Music,ES,5.9445315
Mandarin Pop,ES,0
Metal,ES,3.2280199
Nederlandstalig,ES,0
Oriental Pop,ES,0
Pop,ES,45.5523048
Rap/Hip Hop,ES,3.0339419
Reggae,ES,0
Rock,ES,23.2577495
Schlager,ES,0
Shanson,ES,0
Soul/R 'n' B/Funk,ES,3.1914577
