Data,Country of Top Fans,Proportion
Country,CA,0.303030303
Country,US,0.272727273
Country,BR,0.090909091
Country,RU,0.03030303
Country,GT,0.03030303
Country,NL,0.03030303
Country,VE,0.03030303
Country,NO,0.03030303
Country,HR,0.03030303
Country,CZ,0.03030303
Country,BG,0.03030303
Country,MX,0.03030303
Country,AR,0.03030303
Country,CN,0.03030303
