Country,Age First Heard a Song,Normalized Count
Germany,78,0
Germany,79,0
Germany,80,0
Spain,0,0
Spain,1,0.458715596
Spain,2,1.032110092
Spain,3,0.458715596
Spain,4,0.688073394
Spain,5,0.917431193
Spain,6,1.032110092
Spain,7,1.26146789
Spain,8,1.26146789
Spain,9,1.376146789
Spain,10,3.325688073
Spain,11,1.26146789
Spain,12,4.128440367
Spain,13,3.669724771
Spain,14,5.389908257
Spain,15,7.912844037
Spain,16,9.174311927
Spain,17,7.224770642
Spain,18,8.371559633
Spain,19,4.128440367
Spain,20,7.568807339
Spain,21,2.866972477
Spain,22,2.408256881
Spain,23,3.211009174
Spain,24,2.866972477
Spain,25,3.096330275
Spain,26,2.178899083
Spain,27,1.949541284
Spain,28,1.146788991
Spain,29,1.146788991
Spain,30,2.064220183
Spain,31,0.802752294
Spain,32,0.917431193
Spain,33,0.344036697
Spain,34,0.802752294
Spain,35,0.802752294
Spain,36,0.458715596
Spain,37,0.114678899
Spain,38,0.114678899
Spain,39,0.229357798
Spain,40,0.458715596
Spain,41,0.114678899
Spain,42,0.229357798
Spain,43,0.114678899
Spain,44,0.458715596
Spain,45,0.114678899
Spain,46,0
Spain,47,0
Spain,48,0
Spain,49,0.114678899
Spain,50,0.114678899
Spain,51,0
Spain,52,0
Spain,53,0
Spain,54,0
Spain,55,0
Spain,56,0
Spain,57,0
Spain,58,0.114678899
Spain,59,0
Spain,60,0
Spain,61,0
Spain,62,0
Spain,63,0
Spain,64,0
Spain,65,0
Spain,66,0
Spain,67,0
Spain,68,0
Spain,69,0
Spain,70,0
Spain,71,0
Spain,72,0
Spain,73,0
Spain,74,0
Spain,75,0
Spain,76,0
Spain,77,0
Spain,78,0
Spain,79,0
Spain,80,0
Great Britain,0,0
Great Britain,1,0.491098834
Great Britain,2,0.184162063
Great Britain,3,0.859422959
Great Britain,4,0.73664825
Great Britain,5,1.473296501
Great Britain,6,0.73664825
Great Britain,7,0.982197667
Great Britain,8,1.964395335
Great Britain,9,1.043585021
Great Britain,10,2.885205648
Great Britain,11,1.16635973
Great Britain,12,3.314917127
Great Britain,13,2.33271946
Great Britain,14,4.726826274
Great Britain,15,7.612031921
Great Britain,16,8.103130755
Great Britain,17,6.384284837
Great Britain,18,7.427869859
Great Britain,19,3.990178023
Great Britain,20,4.726826274
Great Britain,21,4.23572744
Great Britain,22,2.394106814
Great Britain,23,2.701043585
Great Britain,24,2.701043585
Great Britain,25,3.314917127
Great Britain,26,2.025782689
Great Britain,27,1.964395335
Great Britain,28,2.33271946
Great Britain,29,1.227747084
Great Britain,30,2.823818293
Great Britain,31,0.798035605
Great Britain,32,1.104972376
Great Britain,33,0.859422959
Great Britain,34,0.613873542
Great Britain,35,1.596071209
Great Britain,36,0.73664825
Great Britain,37,0.982197667
Great Britain,38,0.859422959
Great Britain,39,0.552486188
Great Britain,40,0.859422959
Great Britain,41,0.122774708
Great Britain,42,0.73664825
Great Britain,43,0.184162063
Great Britain,44,0.429711479
Great Britain,45,0.552486188
Great Britain,46,0.491098834
Great Britain,47,0.368324125
Great Britain,48,0.429711479
Great Britain,49,0.061387354
Great Britain,50,0.061387354
Great Britain,51,0.122774708
Great Britain,52,0.061387354
Great Britain,53,0.061387354
Great Britain,54,0.122774708
Great Britain,55,0
Great Britain,56,0.061387354
Great Britain,57,0
Great Britain,58,0.061387354
Great Britain,59,0.061387354
Great Britain,60,0
Great Britain,61,0
Great Britain,62,0
Great Britain,63,0.122774708
Great Britain,64,0
Great Britain,65,0
Great Britain,66,0
Great Britain,67,0
Great Britain,68,0
Great Britain,69,0.061387354
Great Britain,70,0
Great Britain,71,0
Great Britain,72,0
Great Britain,73,0
Great Britain,74,0
Great Britain,75,0
Great Britain,76,0
Great Britain,77,0
Great Britain,78,0
Great Britain,79,0
Great Britain,80,0
Indonesia,0,0
Indonesia,1,1.460823373
Indonesia,2,1.593625498
Indonesia,3,1.460823373
Indonesia,4,0.531208499
Indonesia,5,0.664010624
Indonesia,6,0.929614874
Indonesia,7,1.195219124
Indonesia,8,0.26560425
Indonesia,9,0.398406375
Indonesia,10,2.124833997
Indonesia,11,1.195219124
Indonesia,12,1.992031873
Indonesia,13,2.921646746
Indonesia,14,3.054448871
Indonesia,15,8.499335989
Indonesia,16,6.507304117
Indonesia,17,10.22576361
Indonesia,18,8.366533865
Indonesia,19,4.38247012
Indonesia,20,8.632138114
Indonesia,21,3.585657371
Indonesia,22,3.85126162
Indonesia,23,4.913678619
Indonesia,24,3.054448871
Indonesia,25,3.187250996
Indonesia,26,1.328021248
Indonesia,27,2.788844622
