Genre,Age first heard,Percent Count
Soul.RnB.Funk,76-80,0
Soundtracks,18-20 ,12.32394366
Soundtracks,21-25,16.69545193
Soundtracks,26-30,15.61945332
Soundtracks,31-35,5.63991323
Soundtracks,36-40,11.42857143
Soundtracks,41-45,9.32994063
Soundtracks,46-50,17.16068643
Soundtracks,51-55,8.06451613
Soundtracks,56-60,23.07692308
Soundtracks,61-65,20.6185567
Soundtracks,66-70,0
Soundtracks,71-75,0
Soundtracks,76-80,0
World,18-20 ,36.53169014
World,21-25,35.98157743
World,26-30,37.27369542
World,31-35,25.59652928
World,36-40,23.57142857
World,41-45,24.5971162
World,46-50,26.52106084
World,51-55,22.17741935
World,56-60,26.92307692
World,61-65,10.30927835
World,66-70,0
World,71-75,0
World,76-80,0
