X-head Subgroup,Proportion,Percent
Latin Music,0.30,0.071
Latin Music,0.25,0.034
Latin Music,0.20,0.008
Latin Music,0.15,0.0
Latin Music,0.10,0.0
Latin Music,0.05,0.0
Latin Music,0.00,0.0
Mandarin Pop,1.00,0.224
Mandarin Pop,0.95,0.094
Mandarin Pop,0.90,0.107
Mandarin Pop,0.85,0.079
Mandarin Pop,0.80,0.079
Mandarin Pop,0.75,0.071
Mandarin Pop,0.70,0.066
Mandarin Pop,0.65,0.061
Mandarin Pop,0.60,0.056
Mandarin Pop,0.55,0.051
Mandarin Pop,0.50,0.045
Mandarin Pop,0.45,0.03
Mandarin Pop,0.40,0.02
Mandarin Pop,0.35,0.01
Mandarin Pop,0.30,0.005
Mandarin Pop,0.25,0.002
Mandarin Pop,0.20,0.0
Mandarin Pop,0.15,0.0
Mandarin Pop,0.10,0.0
Mandarin Pop,0.05,0.0
Mandarin Pop,0.00,0.0
Metal,1.00,0.193
Metal,0.95,0.044
Metal,0.90,0.047
Metal,0.85,0.035
Metal,0.80,0.038
Metal,0.75,0.039
Metal,0.70,0.045
Metal,0.65,0.052
Metal,0.60,0.06
Metal,0.55,0.071
Metal,0.50,0.081
Metal,0.45,0.073
Metal,0.40,0.077
Metal,0.35,0.065
Metal,0.30,0.049
Metal,0.25,0.025
Metal,0.20,0.007
Metal,0.15,0.0
Metal,0.10,0.0
Metal,0.05,0.0
Metal,0.00,0.0
Pop,1.00,0.108
Pop,0.95,0.042
Pop,0.90,0.042
Pop,0.85,0.036
Pop,0.80,0.043
Pop,0.75,0.049
Pop,0.70,0.057
Pop,0.65,0.069
Pop,0.60,0.079
Pop,0.55,0.095
Pop,0.50,0.106
Pop,0.45,0.096
Pop,0.40,0.082
Pop,0.35,0.054
Pop,0.30,0.03
Pop,0.25,0.011
Pop,0.20,0.002
Pop,0.15,0.0
Pop,0.10,0.0
Pop,0.05,0.0
Pop,0.00,0.0
Rap/Hip Hop,1.00,0.194
Rap/Hip Hop,0.95,0.051
Rap/Hip Hop,0.90,0.042
Rap/Hip Hop,0.85,0.032
Rap/Hip Hop,0.80,0.034
Rap/Hip Hop,0.75,0.036
Rap/Hip Hop,0.70,0.04
Rap/Hip Hop,0.65,0.046
Rap/Hip Hop,0.60,0.055
Rap/Hip Hop,0.55,0.069
Rap/Hip Hop,0.50,0.079
Rap/Hip Hop,0.45,0.074
Rap/Hip Hop,0.40,0.083
Rap/Hip Hop,0.35,0.072
Rap/Hip Hop,0.30,0.056
Rap/Hip Hop,0.25,0.028
Rap/Hip Hop,0.20,0.007
Rap/Hip Hop,0.15,0.001
Rap/Hip Hop,0.10,0.0
Rap/Hip Hop,0.05,0.0
Rap/Hip Hop,0.00,0.0
Rock,1.00,0.166
Rock,0.95,0.042
Rock,0.90,0.04
Rock,0.85,0.032
Rock,0.80,0.034
Rock,0.75,0.036
Rock,0.70,0.042
Rock,0.65,0.051
Rock,0.60,0.059
Rock,0.55,0.075
Rock,0.50,0.085
Rock,0.45,0.081
Rock,0.40,0.087
Rock,0.35,0.075
Rock,0.30,0.058
Rock,0.25,0.029
Rock,0.20,0.007
Rock,0.15,0.001
Rock,0.10,0.0
Rock,0.05,0.0
Rock,0.00,0.0
World,1.00,0.127
World,0.95,0.034
World,0.90,0.055
World,0.85,0.038
World,0.80,0.035
World,0.75,0.04
World,0.70,0.046
World,0.65,0.054
World,0.60,0.061
World,0.55,0.077
World,0.50,0.094
World,0.45,0.081
World,0.40,0.087
World,0.35,0.073
World,0.30,0.058
World,0.25,0.031
World,0.20,0.008
World,0.15,0.001
World,0.10,0.0
World,0.05,0.0
World,0.00,0.0
