Song Name,Date,Daily Downloads
Barbria Streisand,11-08-31,1
Barbria Streisand,11-09-04,1
Barbria Streisand,11-09-19,1
Barbria Streisand,11-09-23,1
Barbria Streisand,11-10-19,1
Barbria Streisand,11-10-27,1
Barbria Streisand,11-10-30,1
Barbria Streisand,11-11-05,1
Barbria Streisand,11-11-08,1
Barbria Streisand,11-11-24,1
Barbria Streisand,11-11-26,2
Barbria Streisand,11-11-30,1
Barbria Streisand,11-12-20,2
