Age Group, Age first heard, Percent Count
45-54,4,0.326797386
45-54,5,1.225490196
45-54,6,0.449346405
45-54,7,0.694444444
45-54,8,1.102941176
45-54,9,0.571895425
45-54,10,3.349673203
45-54,11,1.266339869
45-54,12,4.08496732
45-54,13,2.736928105
45-54,14,4.125816993
45-54,15,8.333333333
45-54,16,5.882352941
45-54,17,4.779411765
45-54,18,7.352941176
45-54,19,2.736928105
45-54,20,6.004901961
45-54,21,2.859477124
45-54,22,2.328431373
45-54,23,1.593137255
45-54,24,1.593137255
45-54,25,4.125816993
45-54,26,1.225490196
45-54,27,0.980392157
45-54,28,1.470588235
45-54,29,0.571895425
45-54,30,4.20751634
45-54,31,0.612745098
45-54,32,0.89869281
45-54,33,0.694444444
45-54,34,0.367647059
45-54,35,2.450980392
45-54,36,0.694444444
45-54,37,0.571895425
45-54,38,0.490196078
45-54,39,0.285947712
45-54,40,3.104575163
45-54,41,0.612745098
45-54,42,1.307189542
45-54,43,0.939542484
45-54,44,1.674836601
45-54,45,2.614379085
45-54,46,1.062091503
45-54,47,1.225490196
45-54,48,1.062091503
45-54,49,0.490196078
45-54,50,1.02124183
45-54,51,0.571895425
45-54,52,0.245098039
45-54,53,0.12254902
45-54,54,0.12254902
45-54,55,0.0
45-54,56,0.0
45-54,57,0.0
45-54,58,0.0
45-54,59,0.0
45-54,60,0.0
45-54,61,0.0
45-54,62,0.0
45-54,63,0.0
45-54,64,0.0
45-54,65,0.0
45-54,66,0.0
45-54,67,0.0
45-54,68,0.0
45-54,69,0.0
45-54,70,0.0
45-54,71,0.0
45-54,72,0.0
45-54,73,0.0
45-54,74,0.0
45-54,75,0.0
45-54,76,0.0
45-54,77,0.0
45-54,78,0.0
45-54,79,0.0
45-54,80,0.0
45-54,81,0.0
45-54,82,0.0
45-54,83,0.0
55-64,0,0.0
55-64,1,0.0
55-64,2,0.106951872
55-64,3,0.106951872
55-64,4,0.213903743
55-64,5,0.962566845
55-64,6,0.855614973
55-64,7,1.497326203
55-64,8,1.069518717
55-64,9,0.534759358
55-64,10,3.101604278
55-64,11,1.92513369
55-64,12,3.85026738
55-64,13,2.994652406
55-64,14,5.347593583
55-64,15,6.310160428
55-64,16,6.310160428
55-64,17,5.13368984
55-64,18,7.165775401
55-64,19,3.101604278
55-64,20,6.310160428
55-64,21,2.673796791
55-64,22,2.994652406
55-64,23,1.711229947
55-64,24,1.28342246
55-64,25,4.598930481
55-64,26,0.748663102
55-64,27,0.855614973
55-64,28,0.962566845
55-64,29,0.855614973
55-64,30,4.705882353
55-64,31,0.106951872
55-64,32,0.320855615
55-64,33,0.534759358
55-64,34,0.320855615
55-64,35,2.032085561
55-64,36,0.320855615
55-64,37,0.320855615
55-64,38,0.427807487
55-64,39,0.534759358
55-64,40,2.032085561
55-64,41,0.320855615
55-64,42,0.427807487
55-64,43,0.427807487
55-64,44,0.427807487
55-64,45,2.245989305
55-64,46,0.64171123
55-64,47,0.534759358
55-64,48,1.28342246
55-64,49,0.213903743
55-64,50,1.92513369
55-64,51,0.320855615
55-64,52,0.534759358
55-64,53,0.427807487
55-64,54,0.962566845
55-64,55,1.711229947
55-64,56,0.427807487
55-64,57,0.64171123
55-64,58,0.320855615
55-64,59,0.427807487
55-64,60,0.106951872
55-64,61,0.106951872
55-64,62,0.213903743
55-64,63,0.106951872
55-64,64,0.0
55-64,65,0.0
55-64,66,0.0
55-64,67,0.0
55-64,68,0.0
55-64,69,0.0
55-64,70,0.0
55-64,71,0.0
55-64,72,0.0
55-64,73,0.0
55-64,74,0.0
55-64,75,0.0
55-64,76,0.0
55-64,77,0.0
55-64,78,0.0
55-64,79,0.0
55-64,80,0.0
55-64,81,0.0
55-64,82,0.0
55-64,83,0.0
65-74,0,0.0
65-74,1,0.0
65-74,2,0.0
65-74,3,0.0
65-74,4,0.0
65-74,5,0.606060606
65-74,6,4.242424242
65-74,7,0.606060606
65-74,8,0.606060606
65-74,9,1.212121212
65-74,10,1.212121212
65-74,11,0.0
65-74,12,0.606060606
65-74,13,1.818181818
65-74,14,3.636363636
65-74,15,8.484848485
65-74,16,6.666666667
65-74,17,4.242424242
65-74,18,7.272727273
65-74,19,7.272727273
65-74,20,6.060606061
65-74,21,3.03030303
65-74,22,3.03030303
65-74,23,1.818181818
65-74,24,0.606060606
65-74,25,5.454545455
65-74,26,1.818181818
65-74,27,0.0
65-74,28,0.606060606
65-74,29,0.606060606
65-74,30,4.848484848
65-74,31,2.424242424
65-74,32,0.0
65-74,33,0.606060606
65-74,34,0.606060606
65-74,35,2.424242424
65-74,36,0.0
65-74,37,0.0
65-74,38,0.606060606
65-74,39,0.0
65-74,40,3.03030303
65-74,41,0.0
65-74,42,1.212121212
65-74,43,0.0
65-74,44,0.0
65-74,45,0.606060606
65-74,46,0.0
65-74,47,0.0
65-74,48,0.0
65-74,49,0.0
65-74,50,3.03030303
65-74,51,0.0
65-74,52,0.606060606
65-74,53,0.606060606
65-74,54,0.0
65-74,55,0.606060606
65-74,56,0.0
65-74,57,0.606060606
65-74,58,0.0
65-74,59,0.0
65-74,60,1.818181818
65-74,61,0.0
65-74,62,0.0
65-74,63,1.212121212
65-74,64,0.606060606
65-74,65,0.606060606
65-74,66,0.606060606
65-74,67,1.212121212
65-74,68,0.0
65-74,69,0.606060606
65-74,70,0.0
65-74,71,0.0
65-74,72,0.0
65-74,73,0.0
65-74,74,0.0
65-74,75,0.0
65-74,76,0.0
65-74,77,0.0
65-74,78,0.0
65-74,79,0.0
65-74,80,0.0
65-74,81,0.0
65-74,82,0.0
65-74,83,0.0
