Genre,Age first heard,Percent count
Kids & Novelty,55-59,0.0
Kids & Novelty,60-64,0.0
Kids & Novelty,65-69,0.0
Kids & Novelty,70-74,0.0
Kids & Novelty,75-79,0.0
Metal,0-4,0.00592592592593
Metal,5-9,0.0259259259259
Metal,10-14,0.0985185185185
Metal,15-19,0.408148148148
Metal,20-24,0.281481481481
Metal,25-29,0.101481481481
Metal,30-34,0.0392592592593
Metal,35-39,0.0192592592593
Metal,40-44,0.0111111111111
Metal,45-49,0.00666666666667
Metal,50-54,0.000740740740741
Metal,55-59,0.0
Metal,60-64,0.000740740740741
Metal,65-69,0.000740740740741
Metal,70-74,0.0
Metal,75-79,0.0
Pop,0-4,0.0150691699605
Pop,5-9,0.0461956521739
Pop,10-14,0.13290513834
Pop,15-19,0.263586956522
Pop,20-24,0.238636363636
Pop,25-29,0.133152173913
Pop,30-34,0.0790513833992
Pop,35-39,0.0395256916996
Pop,40-44,0.0266798418972
Pop,45-49,0.0123517786561
Pop,50-54,0.00666996047431
Pop,55-59,0.00345849802372
Pop,60-64,0.00123517786561
Pop,65-69,0.00098814229249
Pop,70-74,0.000247035573123
Pop,75-79,0.000247035573123
Rap & Hip Hop,0-4,0.0235017626322
Rap & Hip Hop,5-9,0.0235017626322
Rap & Hip Hop,10-14,0.0799059929495
Rap & Hip Hop,15-19,0.305522914219
Rap & Hip Hop,20-24,0.283196239718
Rap & Hip Hop,25-29,0.137485311398
Rap & Hip Hop,30-34,0.0587544065805
Rap & Hip Hop,35-39,0.0505287896592
Rap & Hip Hop,40-44,0.0152761457109
Rap & Hip Hop,45-49,0.0152761457109
Rap & Hip Hop,50-54,0.00470035252644
Rap & Hip Hop,55-59,0.00235017626322
Rap & Hip Hop,60-64,0.0
Rap & Hip Hop,65-69,0.0
Rap & Hip Hop,70-74,0.0
Rap & Hip Hop,75-79,0.0
Reggae,0-4,0.0
Reggae,5-9,0.0583941605839
Reggae,10-14,0.0948905109489
Reggae,15-19,0.343065693431
Reggae,20-24,0.306569343066
Reggae,25-29,0.109489051095
Reggae,30-34,0.043795620438
Reggae,35-39,0.014598540146
Reggae,40-44,0.021897810219
Reggae,45-49,0.00729927007299
Reggae,50-54,0.0
Reggae,55-59,0.0
Reggae,60-64,0.0
Reggae,65-69,0.0
Reggae,70-74,0.0
Reggae,75-79,0.0
Rock,0-4,0.00494534096825
Rock,5-9,0.0434669442998
Rock,10-14,0.135085892764
Rock,15-19,0.358927641853
Rock,20-24,0.250390421655
Rock,25-29,0.110619469027
Rock,30-34,0.0530973451327
Rock,35-39,0.0216033315981
Rock,40-44,0.0111920874545
Rock,45-49,0.00572618427902
Rock,50-54,0.00260281103592
Rock,55-59,0.000780843310776
Rock,60-64,0.000780843310776
Rock,65-69,0.000260281103592
Rock,70-74,0.0
Rock,75-79,0.000520562207184
Soul/RnB/Funk,0-4,0.0125786163522
Soul/RnB/Funk,5-9,0.0356394129979
Soul/RnB/Funk,10-14,0.0849056603774
Soul/RnB/Funk,15-19,0.237945492662
Soul/RnB/Funk,20-24,0.251572327044
Soul/RnB/Funk,25-29,0.164570230608
Soul/RnB/Funk,30-34,0.0985324947589
Soul/RnB/Funk,35-39,0.0524109014675
Soul/RnB/Funk,40-44,0.0262054507338
Soul/RnB/Funk,45-49,0.0188679245283
Soul/RnB/Funk,50-54,0.0115303983229
Soul/RnB/Funk,55-59,0.0020964360587
Soul/RnB/Funk,60-64,0.00314465408805
Soul/RnB/Funk,65-69,0.0
Soul/RnB/Funk,70-74,0.0
Soul/RnB/Funk,75-79,0.0
Soundtracks,0-4,0.0106382978723
Soundtracks,5-9,0.0851063829787
Soundtracks,10-14,0.0957446808511
Soundtracks,15-19,0.234042553191
Soundtracks,20-24,0.25
Soundtracks,25-29,0.191489361702
Soundtracks,30-34,0.0585106382979
Soundtracks,35-39,0.0372340425532
Soundtracks,40-44,0.0159574468085
Soundtracks,45-49,0.0106382978723
Soundtracks,50-54,0.0106382978723
Soundtracks,55-59,0.0
Soundtracks,60-64,0.0
Soundtracks,65-69,0.0
Soundtracks,70-74,0.0
Soundtracks,75-79,0.0
World,0-4,0.0305676855895
World,5-9,0.0917030567686
World,10-14,0.144104803493
World,15-19,0.218340611354
World,20-24,0.264192139738
World,25-29,0.124454148472
World,30-34,0.0545851528384
World,35-39,0.0305676855895
World,40-44,0.0196506550218
World,45-49,0.0109170305677
World,50-54,0.00873362445415
World,55-59,0.00218340611354
World,60-64,0.0
World,65-69,0.0
World,70-74,0.0
World,75-79,0.0
