Song Name,Date,Daily Downloads
Barbria Streisand,11-11-05,1
Barbria Streisand,11-11-08,1
Barbria Streisand,11-11-24,1
Barbria Streisand,11-11-26,2
Barbria Streisand,11-11-30,1
Barbria Streisand,11-12-20,2
Breathe Slow,08-11-24,69
Breathe Slow,08-12-01,40
Breathe Slow,08-12-08,33
Breathe Slow,08-12-15,59
Breathe Slow,08-12-22,98
Breathe Slow,08-12-29,81
Breathe Slow,09-01-05,100
Breathe Slow,09-01-12,207
Breathe Slow,09-01-19,227
Breathe Slow,09-01-26,299
Breathe Slow,09-02-02,353
Breathe Slow,09-02-09,351
Breathe Slow,09-02-16,269
Breathe Slow,09-02-23,188
Breathe Slow,09-03-02,201
Breathe Slow,09-03-09,184
Breathe Slow,09-03-16,150
Breathe Slow,09-03-23,139
Breathe Slow,09-03-30,130
Breathe Slow,09-04-06,137
Breathe Slow,09-04-13,128
Breathe Slow,09-04-20,99
Breathe Slow,09-04-27,26
Breathe Slow,09-05-04,41
Breathe Slow,09-05-11,51
Breathe Slow,09-05-18,46
Breathe Slow,09-05-25,48
Breathe Slow,09-06-01,68
Breathe Slow,09-06-08,42
Breathe Slow,09-06-15,20
Breathe Slow,09-06-22,15
Breathe Slow,09-06-29,22
Breathe Slow,09-07-06,16
Breathe Slow,09-07-13,27
Breathe Slow,09-07-20,24
Breathe Slow,09-07-27,19
Breathe Slow,09-08-03,23
Breathe Slow,09-08-10,19
Breathe Slow,09-08-17,27
Breathe Slow,09-08-24,11
Breathe Slow,09-08-31,16
Breathe Slow,09-09-07,9
Breathe Slow,09-09-14,15
Breathe Slow,09-09-21,7
Breathe Slow,09-09-28,9
Breathe Slow,09-10-05,9
Breathe Slow,09-10-12,8
Breathe Slow,09-10-19,14
Breathe Slow,09-10-26,9
Breathe Slow,09-11-02,6
Breathe Slow,09-11-09,12
Breathe Slow,09-11-16,48
Breathe Slow,09-11-23,28
Breathe Slow,09-11-30,30
Breathe Slow,09-12-07,17
Breathe Slow,09-12-14,26
Breathe Slow,09-12-21,35
Breathe Slow,09-12-28,25
Breathe Slow,10-01-04,20
Breathe Slow,10-01-11,19
Breathe Slow,10-01-18,21
Breathe Slow,10-01-25,15
Breathe Slow,10-02-01,12
Breathe Slow,10-02-08,6
Breathe Slow,10-02-15,11
Breathe Slow,10-02-22,6
Breathe Slow,10-03-01,11
Breathe Slow,10-03-08,4
Breathe Slow,10-03-15,7
Breathe Slow,10-03-22,8
Breathe Slow,10-03-29,7
Breathe Slow,10-04-05,4
Breathe Slow,10-04-12,2
Breathe Slow,10-04-19,1
Breathe Slow,10-04-26,1
Breathe Slow,10-05-03,3
Breathe Slow,10-05-10,3
Breathe Slow,10-05-17,9
Breathe Slow,10-05-24,6
Breathe Slow,10-06-07,1
Breathe Slow,10-06-14,2
Breathe Slow,10-06-21,1
Breathe Slow,10-06-28,2
Breathe Slow,10-07-05,1
Breathe Slow,10-07-12,3
Breathe Slow,10-07-19,4
Breathe Slow,10-07-26,1
Breathe Slow,10-08-02,4
Breathe Slow,10-08-09,4
Breathe Slow,10-08-23,3
Breathe Slow,10-08-30,12
Breathe Slow,10-09-06,5
Breathe Slow,10-09-13,6
Breathe Slow,10-09-20,4
Breathe Slow,10-09-27,12
Breathe Slow,10-10-04,2
Breathe Slow,10-10-11,1
Breathe Slow,10-10-18,6
Breathe Slow,10-10-25,3
Breathe Slow,10-11-01,12
Breathe Slow,10-11-08,6
Breathe Slow,10-11-15,6
Breathe Slow,10-11-22,4
Breathe Slow,10-11-29,5
Breathe Slow,10-12-06,6
Breathe Slow,10-12-13,4
Breathe Slow,10-12-20,1
Breathe Slow,10-12-27,7
Breathe Slow,11-01-03,3
Breathe Slow,11-01-10,3
Breathe Slow,11-01-24,7
Breathe Slow,11-01-31,2
Breathe Slow,11-02-07,4
Breathe Slow,11-02-14,5
Breathe Slow,11-02-21,1
Breathe Slow,11-02-28,5
Breathe Slow,11-03-07,1
Breathe Slow,11-03-14,2
Breathe Slow,11-03-21,5
Breathe Slow,11-03-28,3
Breathe Slow,11-04-04,6
Breathe Slow,11-04-11,3
Breathe Slow,11-04-25,1
Breathe Slow,11-05-02,1
Breathe Slow,11-05-09,2
Breathe Slow,11-05-16,2
Breathe Slow,11-05-23,2
Breathe Slow,11-05-30,4
Breathe Slow,11-06-06,3
Breathe Slow,11-06-13,1
Breathe Slow,11-06-27,1
Breathe Slow,11-07-11,2
Breathe Slow,11-07-25,2
Breathe Slow,11-08-01,1
Breathe Slow,11-08-15,2
Breathe Slow,11-08-29,1
Breathe Slow,11-10-03,1
Breathe Slow,11-11-14,1
Breathe Slow,11-12-19,1
